"ID";"type";"reactionTime";"startTimeOfStimulus";"deg";"modelNumber";"relativeResistance"
"id11";"hit";1236;-0.31956662794705;-0.49842783960431;"m4";0.154555141814983
"id11";"hit";2324;-0.0217630182063263;-0.165094506270977;"m8";0.154555141814983
"id11";"hit";2098;-0.00464765923227806;-0.49842783960431;"m13";0.154555141814983
"id11";"hit";2450;-0.48678077599733;-0.165094506270977;"m13";0.154555141814983
"id11";"hit";1811;-0.468901771403335;-0.165094506270977;"m4";0.154555141814983
"id11";"hit";2630;-0.454895541024785;-0.165094506270977;"m7";0.154555141814983
"id11";"incorrect";1801;-0.170261787888383;-0.165094506270977;"m12";0.154555141814983
"id11";"hit";1868;0.332956432938536;-0.49842783960431;"m5";0.154555141814983
"id11";"hit";3134;0.347308122049919;-0.49842783960431;"m12";0.154555141814983
"id11";"hit";2917;-0.13710987089545;-0.165094506270977;"m15";0.154555141814983
"id11";"incorrect";4351;0.134541906701854;-0.165094506270977;"m15";0.154555141814983
"id11";"hit";1522;0.16394226306981;-0.49842783960431;"m5";0.154555141814983
"id11";"incorrect";2372;0.176196957066101;0.168238827062356;"m15";0.154555141814983
"id11";"hit";2689;-0.0410905252064111;0.50157216039569;"m16";0.154555141814983
"id11";"hit";2076;0.208973111928585;0.50157216039569;"m16";0.154555141814983
"id11";"hit";3163;0.224585422380832;-0.165094506270977;"m14";0.154555141814983
"id11";"incorrect";3219;0.503097889198612;0.168238827062356;"m12";0.154555141814983
